,Starters,Date,MP_x,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP_y,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
1,Wesley Matthews,2016-10-26,39:37,3,16,.188,2,10,.200,5,6,.833,0,5,5,3,3,0,1,4,13,-17,39:37,.349,.250,.625,.375,0.0,14.2,6.6,9.8,3.5,0.0,5.1,20.7,79,111
2,Dirk Nowitzki,2016-10-26,38:24,8,19,.421,4,9,.444,2,2,1.000,0,8,8,2,2,2,2,1,22,-1,38:24,.553,.526,.474,.105,0.0,23.5,10.9,8.1,2.4,3.7,9.1,23.8,102,109
3,Harrison Barnes,2016-10-26,34:41,8,14,.571,3,6,.500,0,0,,3,6,9,0,0,0,2,3,19,-5,34:41,.679,.679,.429,.000,8.5,19.5,13.6,0.0,0.0,0.0,12.5,19.3,117,118
4,Andrew Bogut,2016-10-26,19:40,3,5,.600,0,0,,0,2,.000,2,4,6,3,0,1,1,3,6,-19,19:40,.510,.600,.000,.400,10.0,22.9,16.0,21.9,0.0,3.6,14.5,14.6,112,114
5,J.J. Barea,2016-10-26,39:07,7,17,.412,2,7,.286,6,6,1.000,0,2,2,6,0,1,3,1,22,+2,39:07,.560,.471,.412,.353,0.0,5.8,2.7,22.9,0.0,1.8,13.3,24.2,109,119
6,Justin Anderson,2016-10-26,19:19,3,9,.333,1,6,.167,0,0,,1,4,5,2,0,1,0,2,7,+2,19:19,.389,.389,.667,.000,5.1,23.4,13.6,14.9,0.0,3.7,0.0,19.5,96,114
7,Dwight Powell,2016-10-26,16:29,0,2,.000,0,0,,0,2,.000,3,4,7,1,0,1,0,2,0,+1,16:29,.000,.000,.000,1.000,17.9,27.4,22.3,7.1,0.0,4.3,0.0,7.3,77,113
8,Seth Curry,2016-10-26,15:45,3,4,.750,1,2,.500,0,0,,0,3,3,1,3,1,0,6,7,+7,15:45,.875,.875,.500,.000,0.0,21.5,10.0,9.6,8.8,4.5,0.0,10.6,173,94
9,Quincy Acy,2016-10-26,0:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-4,0:56,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,118
10,Nicolas Brussino,2016-10-26,0:35,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0,0:35,,,,,0.0,0.0,0.0,100.0,0.0,0.0,,0.0,240,121
11,Dorian Finney-Smith,2016-10-26,0:27,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2,0:27,,,,,0.0,100.0,100.0,0.0,0.0,0.0,,0.0,,84
12,Salah Mejri,2016-10-26,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Monta Ellis,2016-10-26,44:01,7,11,.636,1,2,.500,4,4,1.000,0,7,7,7,3,0,3,3,19,+24,44:01,.745,.682,.182,.364,0.0,15.6,8.3,21.9,3.2,0.0,19.0,15.3,129,105
1,Paul George,2016-10-26,42:46,7,14,.500,4,5,.800,7,8,.875,0,8,8,6,0,0,2,2,25,+24,42:46,.713,.643,.357,.571,0.0,18.4,9.8,19.4,0.0,0.0,10.2,19.5,135,112
2,Myles Turner,2016-10-26,37:29,13,19,.684,1,2,.500,3,5,.600,6,10,16,1,2,4,2,4,30,+25,37:29,.708,.711,.105,.263,18.1,26.2,22.4,4.9,2.5,10.1,8.6,26.5,133,97
3,Jeff Teague,2016-10-26,36:45,5,15,.333,0,3,.000,10,13,.769,0,2,2,8,3,0,3,4,20,-4,36:45,.483,.333,.200,.867,0.0,5.3,2.9,29.0,3.8,0.0,12.6,27.6,102,106
4,Thaddeus Young,2016-10-26,34:13,5,10,.500,1,1,1.000,0,0,,0,5,5,4,1,0,2,6,11,+8,34:13,.550,.550,.100,.000,0.0,14.3,7.7,15.8,1.4,0.0,16.7,15.0,99,109
