,Starters,Date,MP_x,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP_y,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
9,Donald Sloan,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
10,Rasual Butler,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
11,Solomon Hill,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,Chris Copeland,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Anthony Davis,2013-10-30,37:44,8,20,.400,0,0,,4,4,1.000,7,5,12,0,1,3,4,4,20,-2,37:44,.460,.400,.000,.200,19.4,18.7,19.1,0.0,1.4,8.1,15.5,30.0,94,101
1,Jrue Holiday,2013-10-30,36:08,8,18,.444,2,4,.500,6,6,1.000,0,7,7,5,1,0,2,3,24,-6,36:08,.581,.500,.222,.333,0.0,27.3,11.6,28.4,1.5,0.0,8.8,27.5,123,105
2,Eric Gordon,2013-10-30,33:29,8,19,.421,3,5,.600,6,9,.667,1,2,3,1,2,0,1,0,25,-2,33:29,.544,.500,.263,.474,3.1,8.4,5.4,6.4,3.2,0.0,4.2,31.4,117,105
3,Al-Farouq Aminu,2013-10-30,23:13,0,2,.000,0,1,.000,1,2,.500,0,4,4,2,2,0,1,5,1,-6,23:13,.174,.000,.500,1.000,0.0,24.3,10.3,12.2,4.6,0.0,25.8,7.3,52,99
4,Jason Smith,2013-10-30,20:27,4,6,.667,0,0,,0,0,,1,1,2,1,0,1,0,6,8,+8,20:27,.667,.667,.000,.000,5.1,6.9,5.9,9.5,0.0,5.0,0.0,12.9,146,108
5,Tyreke Evans,2013-10-30,22:40,2,8,.250,0,0,,0,0,,0,2,2,3,0,0,3,2,4,-7,22:40,.250,.250,.000,.000,0.0,12.5,5.3,21.3,0.0,0.0,27.3,21.3,52,111
6,Arinze Onuaku,2013-10-30,15:25,1,3,.333,0,0,,0,0,,1,4,5,3,0,0,1,3,2,0,15:25,.333,.333,.000,.000,6.8,36.6,19.5,30.2,0.0,0.0,25.0,11.4,88,107
7,Greg Stiemsma,2013-10-30,14:58,1,2,.500,0,0,,0,0,,4,1,5,0,1,1,2,4,2,-5,14:58,.500,.500,.000,.000,27.9,9.4,20.0,0.0,3.5,6.8,50.0,11.7,80,99
8,Brian Roberts,2013-10-30,14:43,1,2,.500,0,0,,0,0,,0,1,1,2,0,0,0,1,2,+4,14:43,.500,.500,.000,.000,0.0,9.6,4.1,21.2,0.0,0.0,0.0,6.0,134,112
9,Anthony Morrow,2013-10-30,14:04,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,+1,14:04,.333,.333,.333,.000,0.0,10.0,4.3,0.0,0.0,0.0,0.0,9.4,78,112
10,Lance Thomas,2013-10-30,7:09,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,1,1,0,-10,7:09,.000,.000,.000,.000,14.6,0.0,8.4,0.0,0.0,0.0,33.3,18.4,19,114
11,Austin Rivers,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,Jeff Withey,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,O.J. Mayo,2013-10-30,35:57,6,12,.500,0,3,.000,1,1,1.000,0,5,5,3,1,0,2,1,13,-10,35:57,.523,.500,.250,.083,0.0,20.9,10.3,15.4,1.4,0.0,13.9,18.9,95,98
1,Caron Butler,2013-10-30,33:26,5,9,.556,2,3,.667,2,2,1.000,1,3,4,1,1,0,7,4,14,-8,33:26,.709,.667,.333,.222,4.4,13.5,8.8,5.4,1.5,0.0,41.5,23.7,79,99
2,Khris Middleton,2013-10-30,19:15,1,4,.250,0,1,.000,0,0,,0,0,0,1,0,0,3,3,2,-2,19:15,.250,.250,.250,.000,0.0,0.0,0.0,7.9,0.0,0.0,42.9,17.1,35,104
3,Larry Sanders,2013-10-30,12:21,0,3,.000,0,0,,0,0,,1,3,4,0,0,1,2,5,0,-8,12:21,.000,.000,.000,.000,11.8,36.4,23.9,0.0,0.0,6.7,40.0,19.0,13,93
4,Brandon Knight,2013-10-30,1:45,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-2,1:45,,,,,0.0,85.7,42.2,0.0,0.0,0.0,100.0,26.8,0,93
5,Zaza Pachulia,2013-10-30,33:53,6,10,.600,0,0,,1,1,1.000,2,9,11,3,2,0,2,4,13,-3,33:53,.623,.600,.000,.100,8.6,39.8,24.0,16.7,3.0,0.0,16.1,17.2,113,92
6,Gary Neal,2013-10-30,31:49,6,16,.375,2,5,.400,2,2,1.000,0,2,2,5,0,0,0,0,16,0,31:49,.474,.438,.313,.125,0.0,9.4,4.6,30.2,0.0,0.0,0.0,24.9,107,103
7,Nate Wolters,2013-10-30,29:41,3,12,.250,1,4,.250,2,2,1.000,1,0,1,4,1,1,2,2,9,-3,29:41,.349,.292,.333,.167,4.9,0.0,2.5,22.2,1.7,2.8,13.4,23.5,77,98
8,Ersan Ilyasova,2013-10-30,19:43,5,6,.833,0,0,,0,0,,0,2,2,1,3,0,2,1,10,+2,19:43,.833,.833,.000,.000,0.0,15.2,7.5,11.2,7.8,0.0,25.0,19.0,113,85
9,John Henson,2013-10-30,17:27,2,2,1.000,0,0,,1,2,.500,0,1,1,1,2,2,1,0,5,+2,17:27,.868,1.000,.000,1.000,0.0,8.6,4.2,9.7,5.8,9.5,25.8,10.4,124,82
10,Giannis Antetokounmpo,2013-10-30,4:43,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,1,2,1,-3,4:43,.568,,,,0.0,0.0,0.0,0.0,0.0,0.0,53.2,18.7,54,104
11,Miroslav Raduljica,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,Luke Ridnour,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Carmelo Anthony,2013-10-30,37:39,7,16,.438,0,2,.000,5,6,.833,2,8,10,1,1,0,3,2,19,+4,37:39,.510,.438,.125,.375,8.0,30.9,19.6,4.7,1.4,0.0,13.9,27.5,96,91
1,Pablo Prigioni,2013-10-30,37:27,3,3,1.000,1,1,1.000,0,0,,0,3,3,5,3,0,4,1,7,+19,37:27,1.167,1.167,.333,.000,0.0,11.7,5.9,19.9,4.1,0.0,57.1,8.9,103,88
2,Raymond Felton,2013-10-30,34:18,7,12,.583,0,1,.000,4,4,1.000,1,0,1,3,3,0,3,2,18,+11,34:18,.654,.583,.083,.333,4.4,0.0,2.2,16.0,4.5,0.0,17.9,23.3,115,88
3,Iman Shumpert,2013-10-30,33:07,5,13,.385,1,5,.200,5,5,1.000,0,4,4,1,0,1,1,2,16,+4,33:07,.526,.423,.385,.385,0.0,17.6,8.9,5.0,0.0,2.5,6.2,23.4,106,93
4,Tyson Chandler,2013-10-30,31:47,5,7,.714,0,0,,0,0,,2,4,6,1,3,5,5,3,10,+18,31:47,.714,.714,.000,.000,9.4,18.3,13.9,5.3,4.8,13.0,41.7,18.0,85,74
5,Metta World Peace,2013-10-30,17:57,2,4,.500,0,0,,0,0,,0,4,4,0,1,0,1,0,4,-4,17:57,.500,.500,.000,.000,0.0,32.4,16.5,0.0,2.8,0.0,20.0,13.3,78,88
6,Andrea Bargnani,2013-10-30,17:09,3,9,.333,0,3,.000,0,0,,0,2,2,1,1,0,3,2,6,-11,17:09,.333,.333,.333,.000,0.0,17.0,8.6,10.1,3.0,0.0,25.0,33.4,54,89
7,Tim Hardaway,2013-10-30,15:05,2,2,1.000,1,1,1.000,0,0,,0,0,0,2,0,0,0,2,5,0,15:05,1.250,1.250,.500,.000,0.0,0.0,0.0,21.5,0.0,0.0,0.0,6.3,239,98
8,Beno Udrih,2013-10-30,10:33,1,4,.250,0,0,,0,0,,0,1,1,2,0,0,2,2,2,-12,10:33,.250,.250,.000,.000,0.0,13.8,7.0,28.9,0.0,0.0,33.3,27.2,50,96
9,Kenyon Martin,2013-10-30,4:58,1,1,1.000,0,0,,1,2,.500,1,2,3,1,0,0,0,0,3,+6,4:58,.798,1.000,.000,2.000,30.2,58.6,44.6,36.7,0.0,0.0,0.0,18.1,175,90
10,Cole Aldrich,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
11,Amar'e Stoudemire,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,J.R. Smith,2013-10-30,Player Suspended,,,,,,,,,,,,,,,,,,,,Player Suspended,,,,,,,,,,,,,,
0,LeBron James,2013-10-30,36:38,9,17,.529,4,7,.571,3,4,.750,0,4,4,13,0,0,4,3,25,-8,36:38,.666,.647,.412,.235,0.0,16.4,7.4,56.4,0.0,0.0,17.6,27.2,127,118
1,Chris Bosh,2013-10-30,34:15,8,13,.615,2,3,.667,4,4,1.000,3,7,10,1,1,0,4,4,22,-5,34:15,.745,.692,.231,.308,10.8,30.7,19.7,4.6,1.4,0.0,21.3,24.0,117,113
2,Mario Chalmers,2013-10-30,30:35,6,13,.462,4,6,.667,0,0,,2,3,5,4,3,0,2,4,16,-14,30:35,.615,.615,.462,.000,8.0,14.7,11.1,19.3,4.7,0.0,13.3,21.5,115,108
3,Roger Mason,2013-10-30,14:38,1,3,.333,1,2,.500,0,0,,0,0,0,2,0,0,2,1,3,-6,14:38,.500,.500,.667,.000,0.0,0.0,0.0,16.9,0.0,0.0,40.0,14.9,75,121
4,Udonis Haslem,2013-10-30,11:32,1,1,1.000,0,0,,0,1,.000,0,0,0,0,0,0,1,0,2,-12,11:32,.694,1.000,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,41.0,9.3,58,121
5,Ray Allen,2013-10-30,27:51,7,13,.538,4,9,.444,1,1,1.000,1,5,6,1,2,0,0,0,19,+1,27:51,.707,.692,.692,.077,4.4,26.9,14.6,5.8,3.5,0.0,0.0,21.1,137,109
6,Norris Cole,2013-10-30,26:57,5,8,.625,0,2,.000,0,0,,0,3,3,3,0,0,2,4,10,+9,26:57,.625,.625,.250,.000,0.0,16.7,7.5,16.1,0.0,0.0,20.0,16.2,105,118
7,Shane Battier,2013-10-30,23:41,1,8,.125,0,7,.000,0,0,,1,1,2,0,0,0,0,4,2,+5,23:41,.125,.125,.875,.000,5.2,6.3,5.7,0.0,0.0,0.0,0.0,14.8,38,120
8,Rashard Lewis,2013-10-30,20:08,4,8,.500,1,4,.250,2,3,.667,0,1,1,5,1,0,1,2,11,+9,20:08,.590,.563,.500,.375,0.0,7.5,3.4,36.7,2.4,0.0,9.7,22.4,124,114
9,Chris Andersen,2013-10-30,13:45,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,3,3,0,+1,13:45,.000,.000,.000,.000,0.0,0.0,0.0,8.3,0.0,0.0,75.0,12.7,16,121
10,Joel Anthony,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
11,James Jones,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,Michael Beasley,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Evan Turner,2013-10-30,37:13,10,19,.526,0,4,.000,6,6,1.000,0,4,4,5,1,0,3,3,26,+3,37:13,.601,.526,.211,.316,0.0,13.2,7.3,21.4,1.3,0.0,12.2,29.3,117,116
1,Michael Carter-Williams,2013-10-30,36:10,6,10,.600,4,6,.667,6,8,.750,0,7,7,12,9,0,1,1,22,+12,36:10,.814,.800,.600,.800,0.0,23.8,13.1,45.5,12.0,0.0,6.9,17.8,170,89
2,James Anderson,2013-10-30,35:24,3,8,.375,2,5,.400,0,0,,0,6,6,1,2,0,3,3,8,+2,35:24,.500,.500,.625,.000,0.0,20.9,11.5,3.5,2.7,0.0,27.3,13.7,75,111
3,Thaddeus Young,2013-10-30,34:20,5,15,.333,0,1,.000,0,0,,4,2,6,2,2,0,5,2,10,+11,34:20,.333,.333,.067,.000,17.5,7.2,11.8,7.8,2.8,0.0,25.0,25.8,70,113
4,Spencer Hawes,2013-10-30,29:23,10,14,.714,1,2,.500,3,4,.750,3,6,9,2,0,0,2,4,24,+5,29:23,.761,.750,.143,.286,15.3,25.1,20.7,12.3,0.0,0.0,11.3,26.7,140,117
