,Team Name,Date,MP_x,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP_y,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
13,Brooklyn Nets,2016-11-15,240,45,99,.455,12,41,.293,16,20,.800,9,38,47,23,8,6,14,27,118,,240,.547,.515,.414,.202,18.0,73.1,46.1,51.1,7.4,9.4,11.5,100.0,109.2,115.7
13,Los Angeles Lakers,2016-11-15,240,41,92,.446,9,28,.321,34,43,.791,14,41,55,24,9,2,11,17,125,,240,.563,.495,.304,.467,26.9,82.0,53.9,58.5,8.3,3.4,9.0,100.0,115.7,109.2
13,Atlanta Hawks,2016-11-15,240,37,80,.463,6,17,.353,13,19,.684,6,29,35,18,14,4,19,13,93,,240,.526,.500,.213,.238,16.2,63.0,42.2,48.6,14.3,6.1,17.7,100.0,95.0,91.9
13,Miami Heat,2016-11-15,240,36,89,.404,7,23,.304,11,14,.786,17,31,48,13,11,7,23,23,90,,240,.473,.444,.258,.157,37.0,83.8,57.8,36.1,11.2,11.1,19.5,100.0,91.9,95.0
13,Charlotte Hornets,2016-11-15,240,43,80,.538,11,24,.458,18,22,.818,4,33,37,25,10,6,13,17,115,,240,.641,.606,.300,.275,12.1,70.2,46.3,58.1,10.2,11.1,12.7,100.0,117.3,110.1
13,Minnesota Timberwolves,2016-11-15,240,38,89,.427,15,35,.429,17,21,.810,14,29,43,25,4,5,18,19,108,,240,.550,.511,.393,.236,29.8,87.9,53.8,65.8,4.1,8.9,15.5,100.0,110.1,117.3
13,Chicago Bulls,2016-11-15,240,41,98,.418,7,20,.350,24,28,.857,19,48,67,16,7,4,10,19,113,,240,.512,.454,.204,.286,35.8,76.2,57.8,39.0,7.2,6.6,8.3,100.0,115.9,90.3
13,Portland Trail Blazers,2016-11-15,240,34,95,.358,9,34,.265,11,18,.611,15,34,49,17,8,4,11,18,88,,240,.428,.405,.358,.189,23.8,64.2,42.2,50.0,8.2,5.1,9.7,100.0,90.3,115.9
13,Milwaukee Bucks,2016-11-16,240,39,98,.398,8,32,.250,14,18,.778,15,32,47,25,9,3,14,25,100,,240,.472,.439,.327,.184,29.4,91.4,54.7,64.1,9.1,7.5,11.7,100.0,101.2,108.3
13,Atlanta Hawks,2016-11-16,240,35,72,.486,10,32,.313,27,31,.871,3,36,39,29,6,8,16,17,107,,240,.625,.556,.444,.431,8.6,70.6,45.3,82.9,6.1,12.1,15.7,100.0,108.3,101.2
13,Dallas Mavericks,2016-11-16,240,34,83,.410,8,23,.348,7,10,.700,5,27,32,16,9,3,9,19,83,,240,.475,.458,.277,.120,11.1,67.5,37.6,47.1,10.0,5.5,9.3,100.0,92.5,100.3
13,Boston Celtics,2016-11-16,240,33,76,.434,7,21,.333,17,23,.739,13,40,53,18,6,3,19,17,90,,240,.523,.480,.276,.303,32.5,88.9,62.4,54.5,6.7,5.0,18.1,100.0,100.3,92.5
13,Phoenix Suns,2016-11-16,240,39,79,.494,8,20,.400,18,29,.621,7,28,35,14,8,4,16,29,104,,240,.567,.544,.253,.367,16.7,66.7,41.7,35.9,8.0,5.3,14.8,100.0,104.6,120.6
13,Denver Nuggets,2016-11-16,240,45,93,.484,8,17,.471,22,24,.917,14,35,49,23,8,4,14,24,120,,240,.579,.527,.183,.258,33.3,83.3,58.3,51.1,8.0,6.8,11.9,100.0,120.6,104.6
13,Cleveland Cavaliers,2016-11-16,240,35,86,.407,11,30,.367,12,20,.600,11,40,51,19,3,5,18,16,93,,240,.491,.471,.349,.233,23.9,88.9,56.0,54.3,3.1,8.6,16.0,100.0,95.8,106.1
13,Indiana Pacers,2016-11-16,240,43,86,.500,10,28,.357,7,11,.636,5,35,40,22,8,12,10,16,103,,240,.567,.558,.326,.128,11.1,76.1,44.0,51.2,8.2,21.4,9.9,100.0,106.1,95.8
13,Memphis Grizzlies,2016-11-16,240,40,82,.488,15,26,.577,16,19,.842,9,34,43,24,6,2,15,22,111,,240,.614,.579,.317,.232,25.0,81.0,55.1,60.0,6.4,3.6,14.2,100.0,118.7,114.4
13,Los Angeles Clippers,2016-11-16,240,37,81,.457,9,25,.360,24,34,.706,8,27,35,15,13,7,8,19,107,,240,.558,.512,.309,.420,19.0,75.0,44.9,40.5,13.9,12.5,7.7,100.0,114.4,118.7
13,Detroit Pistons,2016-11-16,240,42,85,.494,8,23,.348,10,12,.833,8,32,40,19,6,1,10,14,102,,240,.565,.541,.271,.141,19.5,62.7,43.5,45.2,6.7,1.5,10.0,100.0,113.3,116.6
13,New York Knicks,2016-11-16,240,42,93,.452,9,25,.360,12,19,.632,19,33,52,24,8,9,9,11,105,,240,.518,.500,.269,.204,37.3,80.5,56.5,57.1,8.9,14.5,8.2,100.0,116.6,113.3
12,Houston Rockets,2016-11-16,240,40,92,.435,14,40,.350,9,14,.643,12,35,47,25,10,4,16,10,103,,240,.525,.511,.435,.152,23.5,87.5,51.6,62.5,10.0,6.8,14.0,100.0,102.9,104.9
13,Oklahoma City Thunder,2016-11-16,240,40,84,.476,12,25,.480,13,14,.929,5,39,44,25,7,7,16,15,105,,240,.582,.548,.298,.167,12.5,76.5,48.4,62.5,7.0,13.5,15.1,100.0,104.9,102.9
12,New Orleans Pelicans,2016-11-16,240,30,82,.366,7,21,.333,15,19,.789,9,39,48,19,5,9,17,16,82,,240,.454,.409,.256,.232,19.6,75.0,49.0,63.3,5.3,14.8,15.8,100.0,86.8,94.2
13,Orlando Magic,2016-11-16,240,34,88,.386,10,27,.370,11,19,.579,13,37,50,17,7,7,12,15,89,,240,.462,.443,.307,.216,25.0,80.4,51.0,50.0,7.4,11.5,11.1,100.0,94.2,86.8
13,Washington Wizards,2016-11-16,240,38,91,.418,8,23,.348,18,25,.720,11,29,40,18,8,1,11,26,102,,240,.500,.462,.253,.275,23.4,85.3,49.4,47.4,8.2,2.0,9.7,100.0,104.1,111.2
